EXP to Level:,Mortal:,Immortal:,Godly:,Being:,Common Increase,,Enemy EXP:,Tier-1:,"1,500",Tier-2:,"3,000",Tier-3:,"4,500",Boss-Tier:,"10,000",Increase:,123,246,369,"20,910"
<,"7,500","8,000","9,000","10,000",0,,,,"1,623",,"3,246",,"4,869",,"30,910",,246,492,738,"41,820"
,"7,625","8,125","9,125","10,125",125,,,,"1,869",,"3,738",,"5,607",,"72,730",,369,738,"1,107","62,730"
,"7,875","8,375","9,375","10,375",250,,,,"2,238",,"4,476",,"6,714",,"135,460",,492,984,"1,476","83,640"
,"8,250","8,750","9,750","10,750",375,,,,"2,730",,"5,460",,"8,190",,"219,100",,615,"1,230","1,845","104,550"
,"8,750","9,250","10,250","11,250",500,,,,"3,345",,"6,690",,"10,035",,"323,650",,738,"1,476","2,214","125,460"
,"9,375","9,875","10,875","11,875",625,,,,"4,083",,"8,166",,"12,249",,"449,110",,861,"1,722","2,583","146,370"
,"10,125","10,625","11,625","12,625",750,,,,"4,944",,"9,888",,"14,832",,"595,480",,984,"1,968","2,952","167,280"
,"11,000","11,500","12,500","13,500",875,,,,"5,928",,"11,856",,"17,784",,"762,760",,"1,107","2,214","3,321","188,190"
,"12,000","12,500","13,500","14,500","1,000",,,,"7,035",,"14,070",,"21,105",,"950,950",,"1,230","2,460","3,690","209,100"
,"13,125","13,625","14,625","15,625","1,125",,,,"8,265",,"16,530",,"24,795",,"1,160,050",,"1,353","2,706","4,059","230,010"
,"14,375","14,875","15,875","16,875","1,250",,,,"9,618",,"19,236",,"28,854",,"1,390,060",,"1,476","2,952","4,428","250,920"
,"15,750","16,250","17,250","18,250","1,375",,,,"11,094",,"22,188",,"33,282",,"1,640,980",,"1,599","3,198","4,797","271,830"
,"17,250","17,750","18,750","19,750","1,500",,,,"12,693",,"25,386",,"38,079",,"1,912,810",,"1,722","3,444","5,166","292,740"
,"18,875","19,375","20,375","21,375","1,625",,,,"14,415",,"28,830",,"43,245",,"2,205,550",,"1,845","3,690","5,535","313,650"
,"20,625","21,125","22,125","23,125","1,750",,,,"16,260",,"32,520",,"48,780",,"2,519,200",,"1,968","3,936","5,904","334,560"
,"22,500","23,000","24,000","25,000","1,875",,,,"18,228",,"36,456",,"54,684",,"2,853,760",,"2,091","4,182","6,273","355,470"
,"24,500","25,000","26,000","27,000","2,000",,,,"20,319",,"40,638",,"60,957",,"3,209,230",,"2,214","4,428","6,642","376,380"
,"26,625","27,125","28,125","29,125","2,125",,,,"22,533",,"45,066",,"67,599",,"3,585,610",,"2,337","4,674","7,011","397,290"
,"28,875","29,375","30,375","31,375","2,250",,,,"24,870",,"49,740",,"74,610",,"3,982,900",,"2,460","4,920","7,380","418,200"
,"31,250","31,750","32,750","33,750","2,375",,,,"27,330",,"54,660",,"81,990",,"4,401,100",,"2,583","5,166","7,749","439,110"
,"33,750","34,250","35,250","36,250","2,500",,,,"29,913",,"59,826",,"89,739",,"4,840,210",,"2,706","5,412","8,118","460,020"
,"36,375","36,875","37,875","38,875","2,625",,,,"32,619",,"65,238",,"97,857",,"5,300,230",,"2,829","5,658","8,487","480,930"
,"39,125","39,625","40,625","41,625","2,750",,,,"35,448",,"70,896",,"106,344",,"5,781,160",,"2,952","5,904","8,856","501,840"
,"42,000","42,500","43,500","44,500","2,875",,,,"38,400",,"76,800",,"115,200",,"6,283,000",,"3,075","6,150","9,225","522,750"
,"45,000","45,500","46,500","47,500","3,000",,,,"41,475",,"82,950",,"124,425",,"6,805,750",,"3,198","6,396","9,594","543,660"
,"48,125","48,625","49,625","50,625","3,125",,,,"44,673",,"89,346",,"134,019",,"7,349,410",,"3,321","6,642","9,963","564,570"
,"51,375","51,875","52,875","53,875","3,250",,,,"47,994",,"95,988",,"143,982",,"7,913,980",,"3,444","6,888","10,332","585,480"
,"54,750","55,250","56,250","57,250","3,375",,,,"51,438",,"102,876",,"154,314",,"8,499,460",,"3,567","7,134","10,701","606,390"
,"58,250","58,750","59,750","60,750","3,500",,,,"55,005",,"110,010",,"165,015",,"9,105,850",,"3,690","7,380","11,070","627,300"
,"61,875","62,375","63,375","64,375","3,625",,,,"58,695",,"117,390",,"176,085",,"9,733,150",,"3,813","7,626","11,439","648,210"
,"65,625","66,125","67,125","68,125","3,750",,,,"62,508",,"125,016",,"187,524",,"10,381,360",,"3,936","7,872","11,808","669,120"
,"69,500","70,000","71,000","72,000","3,875",,,,"66,444",,"132,888",,"199,332",,"11,050,480",,"4,059","8,118","12,177","690,030"
,"73,500","74,000","75,000","76,000","4,000",,,,"70,503",,"141,006",,"211,509",,"11,740,510",,"4,182","8,364","12,546","710,940"
,"77,625","78,125","79,125","80,125","4,125",,,,"74,685",,"149,370",,"224,055",,"12,451,450",,"4,305","8,610","12,915","731,850"
,"81,875","82,375","83,375","84,375","4,250",,,,"78,990",,"157,980",,"236,970",,"13,183,300",,"4,428","8,856","13,284","752,760"
,"86,250","86,750","87,750","88,750","4,375",,,,"83,418",,"166,836",,"250,254",,"13,936,060",,"4,551","9,102","13,653","773,670"
,"90,750","91,250","92,250","93,250","4,500",,,,"87,969",,"175,938",,"263,907",,"14,709,730",,"4,674","9,348","14,022","794,580"
,"95,375","95,875","96,875","97,875","4,625",,,,"92,643",,"185,286",,"277,929",,"15,504,310",,"4,797","9,594","14,391","815,490"
,"100,125","100,625","101,625","102,625","4,750",,,,"97,440",,"194,880",,"292,320",,"16,319,800",,"4,920","9,840","14,760","836,400"
,"105,000","105,500","106,500","107,500","4,875",,,,"102,360",,"204,720",,"307,080",,"17,156,200",,"5,043","10,086","15,129","857,310"
,"110,000","110,500","111,500","112,500","5,000",,,,"107,403",,"214,806",,"322,209",,"18,013,510",,"5,166","10,332","15,498","878,220"
,"115,125","115,625","116,625","117,625","5,125",,,,"112,569",,"225,138",,"337,707",,"18,891,730",,"5,289","10,578","15,867","899,130"
,"120,375","120,875","121,875","122,875","5,250",,,,"117,858",,"235,716",,"353,574",,"19,790,860",,"5,412","10,824","16,236","920,040"
,"125,750","126,250","127,250","128,250","5,375",,,,"123,270",,"246,540",,"369,810",,"20,710,900",,"5,535","11,070","16,605","940,950"
,"131,250","131,750","132,750","133,750","5,500",,,,"128,805",,"257,610",,"386,415",,"21,651,850",,"5,658","11,316","16,974","961,860"
,"136,875","137,375","138,375","139,375","5,625",,,,"134,463",,"268,926",,"403,389",,"22,613,710",,"5,781","11,562","17,343","982,770"
,"142,625","143,125","144,125","145,125","5,750",,,,"140,244",,"280,488",,"420,732",,"23,596,480",,"5,904","11,808","17,712","1,003,680"
,"148,500","149,000","150,000","151,000","5,875",,,,"146,148",,"292,296",,"438,444",,"24,600,160",,"6,027","12,054","18,081","1,024,590"
,"154,500","155,000","156,000","157,000","6,000",,,,"152,175",,"304,350",,"456,525",,"25,624,750",,"6,150","12,300","18,450","1,045,500"
,"160,625","161,125","162,125","163,125","6,125",,,,"158,325",,"316,650",,"474,975",,"26,670,250",,"6,273","12,546","18,819","1,066,410"
,"166,875","167,375","168,375","169,375","6,250",,,,"164,598",,"329,196",,"493,794",,"27,736,660",,"6,396","12,792","19,188","1,087,320"
,"173,250","173,750","174,750","175,750","6,375",,,,"170,994",,"341,988",,"512,982",,"28,823,980",,"6,519","13,038","19,557","1,108,230"
,"179,750","180,250","181,250","182,250","6,500",,,,"177,513",,"355,026",,"532,539",,"29,932,210",,"6,642","13,284","19,926","1,129,140"
,"186,375","186,875","187,875","188,875","6,625",,,,"184,155",,"368,310",,"552,465",,"31,061,350",,"6,765","13,530","20,295","1,150,050"
,"193,125","193,625","194,625","195,625","6,750",,,,"190,920",,"381,840",,"572,760",,"32,211,400",,"6,888","13,776","20,664","1,170,960"
,"200,000","200,500","201,500","202,500","6,875",,,,"197,808",,"395,616",,"593,424",,"33,382,360",,"7,011","14,022","21,033","1,191,870"
,"207,000","207,500","208,500","209,500","7,000",,,,"204,819",,"409,638",,"614,457",,"34,574,230",,"7,134","14,268","21,402","1,212,780"
,"214,125","214,625","215,625","216,625","7,125",,,,"211,953",,"423,906",,"635,859",,"35,787,010",,"7,257","14,514","21,771","1,233,690"
,"221,375","221,875","222,875","223,875","7,250",,,,"219,210",,"438,420",,"657,630",,"37,020,700",,"7,380","14,760","22,140","1,254,600"
,"228,750","229,250","230,250","231,250","7,375",,,,"226,590",,"453,180",,"679,770",,"38,275,300",,"7,503","15,006","22,509","1,275,510"
,"236,250","236,750","237,750","238,750","7,500",,,,"234,093",,"468,186",,"702,279",,"39,550,810",,"7,626","15,252","22,878","1,296,420"
,"243,875","244,375","245,375","246,375","7,625",,,,"241,719",,"483,438",,"725,157",,"40,847,230",,"7,749","15,498","23,247","1,317,330"
,"251,625","252,125","253,125","254,125","7,750",,,,"249,468",,"498,936",,"748,404",,"42,164,560",,"7,872","15,744","23,616","1,338,240"
,"259,500","260,000","261,000","262,000","7,875",,,,"257,340",,"514,680",,"772,020",,"43,502,800",,"7,995","15,990","23,985","1,359,150"
,"267,500","268,000","269,000","270,000","8,000",,,,"265,335",,"530,670",,"796,005",,"44,861,950",,"8,118","16,236","24,354","1,380,060"
,"275,625","276,125","277,125","278,125","8,125",,,,"273,453",,"546,906",,"820,359",,"46,242,010",,"8,241","16,482","24,723","1,400,970"
,"283,875","284,375","285,375","286,375","8,250",,,,"281,694",,"563,388",,"845,082",,"47,642,980",,"8,364","16,728","25,092","1,421,880"
,"292,250","292,750","293,750","294,750","8,375",,,,"290,058",,"580,116",,"870,174",,"49,064,860",,"8,487","16,974","25,461","1,442,790"
,"300,750","301,250","302,250","303,250","8,500",,,,"298,545",,"597,090",,"895,635",,"50,507,650",,"8,610","17,220","25,830","1,463,700"
,"309,375","309,875","310,875","311,875","8,625",,,,"307,155",,"614,310",,"921,465",,"51,971,350",,"8,733","17,466","26,199","1,484,610"
,"318,125","318,625","319,625","320,625","8,750",,,,"315,888",,"631,776",,"947,664",,"53,455,960",,"8,856","17,712","26,568","1,505,520"
,"327,000","327,500","328,500","329,500","8,875",,,,"324,744",,"649,488",,"974,232",,"54,961,480",,"8,979","17,958","26,937","1,526,430"
,"336,000","336,500","337,500","338,500","9,000",,,,"333,723",,"667,446",,"1,001,169",,"56,487,910",,"9,102","18,204","27,306","1,547,340"
,"345,125","345,625","346,625","347,625","9,125",,,,"342,825",,"685,650",,"1,028,475",,"58,035,250",,"9,225","18,450","27,675","1,568,250"
,"354,375","354,875","355,875","356,875","9,250",,,,"352,050",,"704,100",,"1,056,150",,"59,603,500",,"9,348","18,696","28,044","1,589,160"
,"363,750","364,250","365,250","366,250","9,375",,,,"361,398",,"722,796",,"1,084,194",,"61,192,660",,"9,471","18,942","28,413","1,610,070"
,"373,250","373,750","374,750","375,750","9,500",,,,"370,869",,"741,738",,"1,112,607",,"62,802,730",,"9,594","19,188","28,782","1,630,980"
,"382,875","383,375","384,375","385,375","9,625",,,,"380,463",,"760,926",,"1,141,389",,"64,433,710",,"9,717","19,434","29,151","1,651,890"
,"392,625","393,125","394,125","395,125","9,750",,,,"390,180",,"780,360",,"1,170,540",,"66,085,600",,"9,840","19,680","29,520","1,672,800"
,"402,500","403,000","404,000","405,000","9,875",,,,"400,020",,"800,040",,"1,200,060",,"67,758,400",,"9,963","19,926","29,889","1,693,710"
,"412,500","413,000","414,000","415,000","10,000",,,,"409,983",,"819,966",,"1,229,949",,"69,452,110",,"10,086","20,172","30,258","1,714,620"
,"422,625","423,125","424,125","425,125","10,125",,,,"420,069",,"840,138",,"1,260,207",,"71,166,730",,"10,209","20,418","30,627","1,735,530"
,"432,875","433,375","434,375","435,375","10,250",,,,"430,278",,"860,556",,"1,290,834",,"72,902,260",,"10,332","20,664","30,996","1,756,440"
,"443,250","443,750","444,750","445,750","10,375",,,,"440,610",,"881,220",,"1,321,830",,"74,658,700",,"10,455","20,910","31,365","1,777,350"
,"453,750","454,250","455,250","456,250","10,500",,,,"451,065",,"902,130",,"1,353,195",,"76,436,050",,"10,578","21,156","31,734","1,798,260"
,"464,375","464,875","465,875","466,875","10,625",,,,"461,643",,"923,286",,"1,384,929",,"78,234,310",,"10,701","21,402","32,103","1,819,170"
,"475,125","475,625","476,625","477,625","10,750",,,,"472,344",,"944,688",,"1,417,032",,"80,053,480",,"10,824","21,648","32,472","1,840,080"
,"486,000","486,500","487,500","488,500","10,875",,,,"483,168",,"966,336",,"1,449,504",,"81,893,560",,"10,947","21,894","32,841","1,860,990"
,"497,000","497,500","498,500","499,500","11,000",,,,"494,115",,"988,230",,"1,482,345",,"83,754,550",,"11,070","22,140","33,210","1,881,900"
,"508,125","508,625","509,625","510,625","11,125",,,,"505,185",,"1,010,370",,"1,515,555",,"85,636,450",,"11,193","22,386","33,579","1,902,810"
,"519,375","519,875","520,875","521,875","11,250",,,,"516,378",,"1,032,756",,"1,549,134",,"87,539,260",,"11,316","22,632","33,948","1,923,720"
,"530,750","531,250","532,250","533,250","11,375",,,,"527,694",,"1,055,388",,"1,583,082",,"89,462,980",,"11,439","22,878","34,317","1,944,630"
,"542,250","542,750","543,750","544,750","11,500",,,,"539,133",,"1,078,266",,"1,617,399",,"91,407,610",,"11,562","23,124","34,686","1,965,540"
,"553,875","554,375","555,375","556,375","11,625",,,,"550,695",,"1,101,390",,"1,652,085",,"93,373,150",,"11,685","23,370","35,055","1,986,450"
,"565,625","566,125","567,125","568,125","11,750",,,,"562,380",,"1,124,760",,"1,687,140",,"95,359,600",,"11,808","23,616","35,424","2,007,360"
,"577,500","578,000","579,000","580,000","11,875",,,,"574,188",,"1,148,376",,"1,722,564",,"97,366,960",,"11,931","23,862","35,793","2,028,270"
,"589,500","590,000","591,000","592,000","12,000",,,,"586,119",,"1,172,238",,"1,758,357",,"99,395,230",,"12,054","24,108","36,162","2,049,180"
,"601,625","602,125","603,125","604,125","12,125",,,,"598,173",,"1,196,346",,"1,794,519",,"101,444,410",,"12,177","24,354","36,531","2,070,090"
,"613,875","614,375","615,375","616,375","12,250",,,,"610,350",,"1,220,700",,"1,831,050",,"103,514,500",,"12,300","24,600","36,900","2,091,000"
,"626,250","626,750","627,750","628,750","12,375",,,,"622,650",,"1,245,300",,"1,867,950",,"105,605,500",,"12,423","24,846","37,269","2,111,910"
,"638,750","639,250","640,250","641,250","12,500",,,,"635,073",,"1,270,146",,"1,905,219",,"107,717,410",,"12,546","25,092","37,638","2,132,820"
,"651,375","651,875","652,875","653,875","12,625",,,,"647,619",,"1,295,238",,"1,942,857",,"109,850,230",,"12,669","25,338","38,007","2,153,730"
,"664,125","664,625","665,625","666,625","12,750",,,,"660,288",,"1,320,576",,"1,980,864",,"112,003,960",,"12,792","25,584","38,376","2,174,640"
,"677,000","677,500","678,500","679,500","12,875",,,,"673,080",,"1,346,160",,"2,019,240",,"114,178,600",,"12,915","25,830","38,745","2,195,550"
